"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2023","89.46","90.71","90.77","88.86","71.94M","-1.95%"
"10/08/2023","91.24","90.75","91.60","90.54","54.87M","1.30%"
"10/01/2023","90.07","90.89","90.99","89.68","80.00M","-1.66%"
"09/24/2023","91.59","91.85","92.04","90.85","55.72M","-0.92%"
"09/17/2023","92.44","92.97","93.25","92.02","40.26M","-0.70%"
"09/10/2023","93.09","93.31","93.74","93.02","31.78M","-0.45%"
"09/03/2023","93.51","93.71","93.86","93.12","24.12M","-0.50%"
"08/27/2023","93.98","93.91","94.94","93.71","30.63M","0.31%"
"08/20/2023","93.69","93.16","94.07","92.85","39.38M","0.10%"
"08/13/2023","93.60","93.98","94.26","93.06","40.39M","-0.56%"
"08/06/2023","94.13","94.93","95.54","94.09","29.10M","-0.97%"
"07/30/2023","95.05","95.58","95.90","93.96","43.32M","-0.60%"
"07/23/2023","95.62","96.61","96.71","95.18","30.73M","-0.85%"
"07/16/2023","96.44","96.60","97.19","96.19","25.92M","-0.09%"
"07/09/2023","96.53","94.74","97.07","94.73","38.44M","2.05%"
"07/02/2023","94.59","96.32","96.62","94.36","30.74M","-2.08%"
"06/25/2023","96.60","97.35","97.50","96.22","28.71M","-0.51%"
"06/18/2023","97.10","97.05","97.50","96.63","18.81M","0.24%"
"06/11/2023","96.87","97.09","97.36","96.18","34.64M","-0.07%"
"06/04/2023","96.94","96.92","97.56","96.54","30.72M","-0.39%"
"05/28/2023","97.32","97.22","98.38","97.14","44.45M","0.40%"
"05/21/2023","96.93","97.65","97.89","96.39","41.77M","-0.72%"
"05/14/2023","97.63","99.19","99.25","97.46","39.57M","-1.85%"
"05/07/2023","99.47","99.07","100.41","98.94","35.36M","-0.22%"
"04/30/2023","99.69","99.11","100.80","98.19","58.79M","-0.04%"
"04/23/2023","99.73","98.84","100.13","98.77","37.72M","1.18%"
"04/16/2023","98.57","98.54","99.10","97.98","25.95M","-0.35%"
"04/09/2023","98.92","99.69","100.07","98.79","62.17M","-1.55%"
"04/02/2023","100.48","98.81","100.76","98.74","24.51M","1.37%"
"03/26/2023","99.12","98.94","99.18","98.19","45.50M","-0.77%"
"03/19/2023","99.89","99.42","100.58","97.75","44.79M","0.63%"
"03/12/2023","99.26","98.95","99.78","97.38","123.51M","1.98%"
"03/05/2023","97.33","95.39","97.42","94.78","37.52M","2.27%"
"02/26/2023","95.17","95.66","95.79","94.21","35.36M","-0.16%"
"02/19/2023","95.32","95.75","96.00","95.11","59.34M","-1.13%"
"02/12/2023","96.41","96.97","97.24","95.90","61.03M","-0.57%"
"02/05/2023","96.96","97.90","98.14","96.89","29.97M","-1.66%"
"01/29/2023","98.60","98.74","100.21","98.47","38.69M","-0.42%"
"01/22/2023","99.02","98.84","99.73","98.65","19.20M","-0.15%"
"01/15/2023","99.17","98.66","100.06","98.64","24.69M","0.18%"
